name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binary_trees_classes,python,1,21,767,968.724,1341804,0,0% 0% 55% 0% 0% 0% 45% 0%,969.038
binary_trees_classes,python,1,21,767,964.824,1341820,0,0% 0% 49% 0% 0% 0% 51% 0%,965.136
binary_trees_classes,python,1,21,767,968.386,1341932,0,99% 0% 0% 0% 1% 0% 0% 0%,968.724
binary_trees_classes,python,1,21,767,966.025,1341972,0,0% 0% 2% 44% 0% 0% 0% 54%,966.308
binary_trees_classes,python,1,21,767,968.952,1341816,0,0% 0% 0% 46% 0% 0% 0% 54%,969.243
binary_trees_classes,python,1,21,767,975.594,1341940,0,0% 0% 0% 39% 0% 0% 0% 61%,975.944
binary_trees_classes,python,1,21,767,966.037,1341864,0,0% 0% 0% 45% 0% 0% 0% 55%,966.332
binary_trees_classes,python,1,21,767,962.887,1341932,0,0% 0% 39% 0% 0% 0% 61% 0%,963.180
binary_trees_classes,python,1,21,767,967.274,1341844,0,100% 0% 0% 0% 0% 0% 0% 0%,967.616
binary_trees_classes,python,1,21,767,989.513,1341960,0,4% 4% 19% 40% 3% 3% 10% 39%,990.183
